azon	diakazon	szakazon
1	1	1
2	2	1
3	3	1
4	4	1
5	5	1
6	6	1
7	7	2
8	8	2
9	9	2
10	10	2
11	11	2
12	12	2
13	13	2
14	14	2
15	15	2
16	16	2
17	4	2
18	17	2
19	18	3
20	19	3
21	20	3
22	21	3
23	22	3
24	23	3
25	24	3
26	25	3
27	26	3
28	7	4
29	27	4
30	28	4
31	29	4
32	30	4
33	31	4
34	32	5
35	33	5
36	34	5
37	35	5
38	36	5
39	37	5
40	38	5
41	39	5
42	40	5
43	41	6
44	42	6
45	43	6
46	44	6
47	45	6
48	46	6
49	47	6
50	48	6
51	49	6
52	50	6
53	51	6
54	52	6
55	53	6
56	54	6
57	55	6
58	56	6
59	57	6
60	26	6
61	58	6
62	59	6
63	41	7
64	43	7
65	44	7
66	45	7
67	46	7
68	47	7
69	48	7
70	49	7
71	50	7
72	51	7
73	52	7
74	53	7
75	54	7
76	55	7
77	56	7
78	57	7
79	26	7
80	58	7
81	59	7
82	60	8
83	8	8
84	61	8
85	62	8
86	63	8
87	64	8
88	65	8
89	66	8
90	67	8
91	68	8
92	69	8
93	70	8
94	71	8
95	72	9
96	73	9
97	74	9
98	75	9
99	76	9
100	77	9
101	78	9
102	79	9
103	80	9
104	81	9
105	36	9
106	82	9
107	83	9
108	38	9
109	84	9
110	85	9
111	86	9
112	87	9
113	88	9
114	89	10
115	90	10
116	1	10
117	91	10
118	92	10
119	93	10
120	94	10
121	95	10
122	96	10
123	97	10
124	98	10
125	99	10
126	9	10
127	100	10
128	101	10
129	102	10
130	103	10
131	104	10
132	105	10
133	106	10
134	107	10
135	108	10
136	16	10
137	109	10
138	110	11
139	111	11
140	112	11
141	76	11
142	113	11
143	114	11
144	115	11
145	116	11
146	117	11
147	118	11
148	119	11
149	120	11
150	121	11
151	122	11
152	123	11
153	124	11
154	125	11
155	126	11
156	17	11
157	127	12
158	128	12
159	129	12
160	130	12
161	131	12
162	132	12
163	133	12
164	66	12
165	134	12
166	135	12
167	136	12
168	137	12
169	138	12
170	139	12
171	140	13
172	141	13
173	76	14
174	142	15
175	143	15
176	144	15
177	145	15
178	146	15
179	147	15
180	148	15
181	149	15
182	80	15
183	150	15
184	151	15
185	152	15
186	153	15
187	154	15
188	155	15
189	156	15
190	157	15
191	158	15
192	159	15
193	160	15
194	65	15
195	161	15
196	162	15
197	163	15
198	14	15
199	164	15
200	150	16
201	61	16
202	165	16
203	166	17
204	167	18
205	168	18
206	142	18
207	169	18
208	170	18
209	171	18
210	143	18
211	172	18
212	173	18
213	174	18
214	175	18
215	148	18
216	176	18
217	76	18
218	177	18
219	128	18
220	178	18
221	129	18
222	179	18
223	34	18
224	180	18
225	81	18
226	150	18
227	181	18
228	182	18
229	35	18
230	183	19
231	170	19
232	173	19
233	184	19
234	60	19
235	185	19
236	186	19
237	187	19
238	181	19
239	182	19
240	188	19
241	189	19
242	190	19
243	191	19
244	192	19
245	193	19
246	194	19
247	69	19
248	137	19
249	195	19
250	196	19
251	197	20
252	184	20
253	185	20
254	198	20
255	127	20
256	187	20
257	130	20
258	199	20
259	193	20
260	200	20
261	201	20
262	202	20
263	203	20
264	204	20
265	1	21
266	146	21
267	93	21
268	27	21
269	205	21
270	206	21
271	55	21
272	28	21
273	24	21
274	207	21
275	208	21
276	209	22
277	114	22
278	127	22
279	210	22
280	211	22
281	212	22
282	213	22
283	214	22
284	35	22
285	215	22
286	216	22
287	217	22
288	218	22
289	159	22
290	163	22
291	219	22
292	220	22
293	221	22
294	4	22
295	88	22
296	6	22
297	73	23
298	75	23
299	76	23
300	77	23
301	33	23
302	79	23
303	80	23
304	36	23
305	37	23
306	83	23
307	38	23
308	39	23
309	222	23
310	223	23
311	224	23
312	85	23
313	225	23
314	226	23
315	130	24
316	227	24
317	228	24
318	125	24
319	110	25
320	229	25
321	113	25
322	114	25
323	115	25
324	52	25
325	120	25
326	24	25
327	207	25
328	183	26
329	230	26
330	210	26
331	231	26
332	232	26
333	67	26
334	233	26
335	234	26
336	235	26
337	236	26
338	237	27
339	167	27
340	168	27
341	142	27
342	169	27
343	238	27
344	173	27
345	174	27
346	148	27
347	176	27
348	239	27
349	240	27
350	180	27
351	214	27
352	188	27
353	241	27
354	242	27
355	243	27
356	244	27
357	192	27
358	245	27
359	246	27
360	247	27
361	160	27
362	248	27
363	249	27
364	250	28
365	251	28
366	252	28
367	253	28
368	254	28
369	255	28
370	256	28
371	257	28
372	182	28
373	161	28
374	258	28
375	259	28
376	60	29
377	179	29
378	130	29
379	182	29
380	143	30
381	144	30
382	260	30
383	186	30
384	261	30
385	130	30
386	150	30
387	262	30
388	263	30
389	190	30
390	153	30
391	264	30
392	193	30
393	265	30
394	266	30
395	134	30
396	202	30
397	267	30
398	268	30
399	269	30
400	139	30
401	111	31
402	112	31
403	116	31
